venue,year,title,authors,pdf_url,source_url
CVPR,2026,3D-Object Perception Transformer (3PT),"Agastya Kalra, Tim Salzmann, Guy Stoppi, Dmitrii Marin, Rishav Agarwal, Vage Taamazyan, Martin Bokeloh, Stefan Hinterstoisser, Anton Boykov, Alberto Dall'Olio, Pravin Dangol, Kartik Venkataraman, Huaijin Chen",https://openaccess.thecvf.com/content/CVPR2026/papers/Kalra_3D-Object_Perception_Transformer_3PT_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,3D-VCD: Hallucination Mitigation in 3D-LLM Embodied Agents through Visual Contrastive Decoding,"Makanjuola Adekunmi Ogunleye, Eman Abdelrahman, Ismini Lourentzou",https://openaccess.thecvf.com/content/CVPR2026/papers/Ogunleye_3D-VCD_Hallucination_Mitigation_in_3D-LLM_Embodied_Agents_through_Visual_Contrastive_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,"3DReflecNet: A Large-Scale Dataset for 3D Reconstruction of Reflective, Transparent, and Low-Texture Objects","Zhicheng Liang, Haoyi Yu, Boyan Li, Dayou Zhang, Zijian Cao, Tianyi Gong, Junhua Liu, Shuguang Cui, Fangxin Wang",https://openaccess.thecvf.com/content/CVPR2026/papers/Liang_3DReflecNet_A_Large-Scale_Dataset_for_3D_Reconstruction_of_Reflective_Transparent_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,3DrawAgent: Teaching LLM to Draw in 3D with Early Contrastive Experience,"Hongcan Xiao, Xinyue Xiao, Yilin Wang, Yue Zhang, Yonggang Qi",https://openaccess.thecvf.com/content/CVPR2026/papers/Xiao_3DrawAgent_Teaching_LLM_to_Draw_in_3D_with_Early_Contrastive_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,3M-TI: High-Quality Mobile Thermal Imaging via Calibration-free Multi-Camera Cross-Modal Diffusion,"Minchong Chen, Xiaoyun Yuan, Junzhe Wan, Jianing Zhang, Jun Zhang",https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_3M-TI_High-Quality_Mobile_Thermal_Imaging_via_Calibration-free_Multi-Camera_Cross-Modal_Diffusion_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,4C4D: 4 Camera 4D Gaussian Splatting,"Junsheng Zhou, Zhifan Yang, Liang Han, Wenyuan Zhang, Kanle Shi, Shenkun Xu, Yu-Shen Liu",https://openaccess.thecvf.com/content/CVPR2026/papers/Zhou_4C4D_4_Camera_4D_Gaussian_Splatting_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,4D Local Modeling Toward Dynamic Global Perception for Ambiguity-free Rotation-Invariant Point Cloud Analysis,"Jiaxun Guo, Wentao Fan, Manar Amayri, Nizar Bouguila",https://openaccess.thecvf.com/content/CVPR2026/papers/Guo_4D_Local_Modeling_Toward_Dynamic_Global_Perception_for_Ambiguity-free_Rotation-Invariant_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,4D Primitive-Mache: Glueing Primitives for Persistent 4D Scene Reconstruction,"Kirill Mazur, Marwan Taher, Andrew J. Davison",https://openaccess.thecvf.com/content/CVPR2026/papers/Mazur_4D_Primitive-Mache_Glueing_Primitives_for_Persistent_4D_Scene_Reconstruction_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,4D-RGPT: Toward Region-level 4D Understanding via Perceptual Distillation,"Chiao-An Yang, Ryo Hachiuma, Sifei Liu, Subhashree Radhakrishnan, Raymond A. Yeh, Yu-Chiang Frank Wang, Min-Hung Chen",https://openaccess.thecvf.com/content/CVPR2026/papers/Yang_4D-RGPT_Toward_Region-level_4D_Understanding_via_Perceptual_Distillation_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,4DEquine: Disentangling Motion and Appearance for 4D Equine Reconstruction from Monocular Video,"Jin Lyu, Liang An, Pujin Cheng, Yebin Liu, Xiaoying Tang",https://openaccess.thecvf.com/content/CVPR2026/papers/Lyu_4DEquine_Disentangling_Motion_and_Appearance_for_4D_Equine_Reconstruction_from_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,4DP-QA: Scalable QA for 4D Perception in Vision Language Models,"Seokju Cho, Abhishek Badki, Hang Su, Jindong Jiang, Ziyao Zeng, Seungryong Kim, Sifei Liu, Orazio Gallo",https://openaccess.thecvf.com/content/CVPR2026/papers/Cho_4DP-QA_Scalable_QA_for_4D_Perception_in_Vision_Language_Models_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,4DSurf: High-Fidelity Dynamic Scene Surface Reconstruction,"Renjie Wu, Hongdong Li, Jose M. Alvarez, Miaomiao Liu",https://openaccess.thecvf.com/content/CVPR2026/papers/Wu_4DSurf_High-Fidelity_Dynamic_Scene_Surface_Reconstruction_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,4DWorldBench: A Comprehensive Evaluation Framework for 3D/4D World Generation Models,"Yiting Lu, Wei Luo, Peiyan Tu, Haoran Li, Hanxin Zhu, Zihao Yu, Xingrui Wang, Xinyi Chen, Xinge Peng, Xin Li, Zhibo Chen",https://openaccess.thecvf.com/content/CVPR2026/papers/Lu_4DWorldBench_A_Comprehensive_Evaluation_Framework_for_3D4D_World_Generation_Models_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Bit is All You Need! Efficient Video Capture via Single Bit Imaging,"Kanchana Vaishnavi Gandikota, Michael Moeller, Andreas Kolb, Bhaskar Choubey, Paramanand Chandramouli",https://openaccess.thecvf.com/content/CVPR2026/papers/Gandikota_A_Bit_is_All_You_Need_Efficient_Video_Capture_via_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Causal Marriage between VLM and IRM from Understanding to Reasoning,"Ziliang Chen, Tianang Xiao, Jusheng Zhang, Yongsen Zheng, Yang Liu, Zhao-rong Lai, Liang Lin",https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_A_Causal_Marriage_between_VLM_and_IRM_from_Understanding_to_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Closed-Form Solution for Debiasing Vision-Language Models with Utility Guarantees Across Modalities and Tasks,"Tangzheng Lian, Guanyu Hu, Yijing Ren, Dimitrios Kollias, Oya Celiktutan",https://openaccess.thecvf.com/content/CVPR2026/papers/Lian_A_Closed-Form_Solution_for_Debiasing_Vision-Language_Models_with_Utility_Guarantees_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Closer Look at Cross-Domain Few-Shot Object Detection: Fine-Tuning Matters and Parallel Decoder Helps,"Xuanlong Yu, Youyang Sha, Longfei Liu, Xi Shen, Di Yang",https://openaccess.thecvf.com/content/CVPR2026/papers/Yu_A_Closer_Look_at_Cross-Domain_Few-Shot_Object_Detection_Fine-Tuning_Matters_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Combination of Noise and Bilateral Filters Achieve Supralinear and Scalable Adversarial Robustness in CNNs,"Nicolas Stalder, Benjamin F. Grewe, Matteo Saponati, Pau Vilimelis Aceituno",https://openaccess.thecvf.com/content/CVPR2026/papers/Stalder_A_Combination_of_Noise_and_Bilateral_Filters_Achieve_Supralinear_and_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Cross-view Fusion Framework for Robust 6-DoF Grasp Pose Estimation,"Kangjian Zhu, Haobo Jiang, Jianjun Qian, Jin Xie",https://openaccess.thecvf.com/content/CVPR2026/papers/Zhu_A_Cross-view_Fusion_Framework_for_Robust_6-DoF_Grasp_Pose_Estimation_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Debiased Reconstruction-based Framework for Training-Free Detection of AI-Generated Images,"Sungik Choi, Hankook Lee, Jaehoon Lee, Robin Kim, Stanley Jungkyu Choi, Moontae Lee",https://openaccess.thecvf.com/content/CVPR2026/papers/Choi_A_Debiased_Reconstruction-based_Framework_for_Training-Free_Detection_of_AI-Generated_Images_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Difference-in-Difference Approach to Detecting AI-Generated Images,"Xinyi Qi, Kai Ye, Chengchun Shi, Ying Yang, Jin Zhu, Hongyi Zhou",https://openaccess.thecvf.com/content/CVPR2026/papers/Qi_A_Difference-in-Difference_Approach_to_Detecting_AI-Generated_Images_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Faster Path to Continual Learning,"Wei Li, Hangjie Yuan, Zixiang Zhao, Borui Kang, Ziwei Liu, Tao Feng",https://openaccess.thecvf.com/content/CVPR2026/papers/Li_A_Faster_Path_to_Continual_Learning_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Frame is Worth One Token: Efficient Generative World Modeling with Delta Tokens,"Tommie Kerssies, Gabriele Berton, Ju He, Qihang Yu, Wufei Ma, Daan de Geus, Gijs Dubbelman, Liang-Chieh Chen",https://openaccess.thecvf.com/content/CVPR2026/papers/Kerssies_A_Frame_is_Worth_One_Token_Efficient_Generative_World_Modeling_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Geometric Algebra-Informed 3DGS Framework for Wireless Channel Prediction,"Jingzhou Shen, Tianya Zhao, Xuyu Wang",https://openaccess.thecvf.com/content/CVPR2026/papers/Shen_A_Geometric_Algebra-Informed_3DGS_Framework_for_Wireless_Channel_Prediction_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Mixed Diet Makes DINO An Omnivorous Vision Encoder,"Rishabh Kabra, Maks Ovsjanikov, Drew A. Hudson, Ye Xia, Skanda Koppula, Andre Araujo, Joao Carreira, Niloy J. Mitra",https://openaccess.thecvf.com/content/CVPR2026/papers/Kabra_A_Mixed_Diet_Makes_DINO_An_Omnivorous_Vision_Encoder_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A More Word-like Image Tokenization for MLLMs,"Hyun Lee, Hyemin Jeong, Yejin Kim, Hyungwook Choi, Hyunsoo Cho, Soo Kyung Kim, Joonseok Lee",https://openaccess.thecvf.com/content/CVPR2026/papers/Lee_A_More_Word-like_Image_Tokenization_for_MLLMs_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Multi-Agent Perception-Action Alliance for Efficient Long Video Reasoning,"Yichang Xu, Gaowen Liu, Ramana Rao Kompella, Tiansheng Huang, Sihao Hu, Fatih Ilhan, Selim Furkan Tekin, Zachary Yahn, Ling Liu",https://openaccess.thecvf.com/content/CVPR2026/papers/Xu_A_Multi-Agent_Perception-Action_Alliance_for_Efficient_Long_Video_Reasoning_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Polynomial Chaos Framework for Causal Discovery in Nonlinear Uncertain Systems,Liang Cao,https://openaccess.thecvf.com/content/CVPR2026/papers/Cao_A_Polynomial_Chaos_Framework_for_Causal_Discovery_in_Nonlinear_Uncertain_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Provable Energy-Guided Test-Time Defense Boosting Adversarial Robustness of Large Vision-Language Models,"Mujtaba Hussain Mirza, Antonio D'Orazio, Odelia Melamed, Iacopo Masi",https://openaccess.thecvf.com/content/CVPR2026/papers/Mirza_A_Provable_Energy-Guided_Test-Time_Defense_Boosting_Adversarial_Robustness_of_Large_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Sanity Check for Multi-In-Domain Face Forgery Detection in the Real World,"Jikang Cheng, Renye Yan, Zhiyuan Yan, Yaozhong Gan, Xueyi Zhang, Zhongyuan Wang, Wei Peng, Ling Liang",https://openaccess.thecvf.com/content/CVPR2026/papers/Cheng_A_Sanity_Check_for_Multi-In-Domain_Face_Forgery_Detection_in_the_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Self-Conditioned Representation Guided Diffusion Model for Realistic Text-to-LiDAR Scene Generation,"Wentao Qu, Guofeng Mei, Yang Wu, YongShun Gong, Xiaoshui Huang, Liang Xiao",https://openaccess.thecvf.com/content/CVPR2026/papers/Qu_A_Self-Conditioned_Representation_Guided_Diffusion_Model_for_Realistic_Text-to-LiDAR_Scene_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Semantically Disentangled Unified Model for Multi-category 3D Anomaly Detection,"SuYeon Kim, Wongyu Lee, MyeongAh Cho",https://openaccess.thecvf.com/content/CVPR2026/papers/Kim_A_Semantically_Disentangled_Unified_Model_for_Multi-category_3D_Anomaly_Detection_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Stitch in Time: Learning Procedural Workflow via Self-Supervised Plackett-Luce Ranking,"Chengan Che, Chao Wang, Xinyue Chen, Sophia Tsoka, Luis C. Garcia-Peraza-Herrera",https://openaccess.thecvf.com/content/CVPR2026/papers/Che_A_Stitch_in_Time_Learning_Procedural_Workflow_via_Self-Supervised_Plackett-Luce_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Style is Worth One Code: Unlocking Code-to-Style Image Generation with Discrete Style Space,"Huijie Liu, Shuhao Cui, Haoxiang Cao, Shuai Ma, Kai Wu, Guoliang Kang",https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_A_Style_is_Worth_One_Code_Unlocking_Code-to-Style_Image_Generation_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Supervised Multi-task Framework for Joint cryo-ET Restoration Enabled by Generative Physical Simulation,"Xinsheng Wang, Zhidong Yang, Xiaohua Wan, Renmin Han, Shuai Tang, Hao Dong, Fa Zhang, Bin Hu",https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_A_Supervised_Multi-task_Framework_for_Joint_cryo-ET_Restoration_Enabled_by_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Temporal and Content Co-Awareness Latent Diffusion for Controllable Hand Image Generation,"Shuang Hao, Pengfei Ren, Haifeng Sun, Ting Pan, Qi Qi, Lei Zhang, Cong Liu, Jianxin Liao, Jingyu Wang",https://openaccess.thecvf.com/content/CVPR2026/papers/Hao_A_Temporal_and_Content_Co-Awareness_Latent_Diffusion_for_Controllable_Hand_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Training-Free Style-Personalization via SVD-Based Feature Decomposition,"Kyoungmin Lee, Jihun Park, Jongmin Gim, Wonhyeok Choi, Kyumin Hwang, Jaeyeul Kim, Sunghoon Im",https://openaccess.thecvf.com/content/CVPR2026/papers/Lee_A_Training-Free_Style-Personalization_via_SVD-Based_Feature_Decomposition_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Unified Framework for Knowledge Transfer in Bidirectional Model Scaling,"Jianlu Shen, Fu Feng, Jiaze Xu, Yucheng Xie, Jiaqi Lv, Xin Geng",https://openaccess.thecvf.com/content/CVPR2026/papers/Shen_A_Unified_Framework_for_Knowledge_Transfer_in_Bidirectional_Model_Scaling_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A Unified Perspective on Adversarial Membership Manipulation in Vision Models,"Ruize Gao, Kaiwen Zhou, Yongqiang Chen, Feng Liu",https://openaccess.thecvf.com/content/CVPR2026/papers/Gao_A_Unified_Perspective_on_Adversarial_Membership_Manipulation_in_Vision_Models_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A2GC: Asymmetric Aggregation with Geometric Constraints for Locally Aggregated Descriptors,"Zhenyu Li, Tianyi Shang",https://openaccess.thecvf.com/content/CVPR2026/papers/Li_A2GC_Asymmetric_Aggregation_with_Geometric_Constraints_for_Locally_Aggregated_Descriptors_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,A3: Towards Advertising Aesthetic Assessment,"Kaiyuan Ji, Yixuan Gao, Lu Sun, Yushuo Zheng, Zijian Chen, Jianbo Zhang, Xiangyang Zhu, Yuan Tian, Zicheng Zhang, Guangtao Zhai",https://openaccess.thecvf.com/content/CVPR2026/papers/Ji_A3_Towards_Advertising_Aesthetic_Assessment_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,ACE-Merging: Data-Free Model Merging with Adaptive Covariance Estimation,"Bo Xu, Haotian Wu, Hehai Lin, Weiquan Huang, Beier Zhu, Yao Shu, Chengwei Qin",https://openaccess.thecvf.com/content/CVPR2026/papers/Xu_ACE-Merging_Data-Free_Model_Merging_with_Adaptive_Covariance_Estimation_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,ACPV-Net: All-Class Polygonal Vectorization for Seamless Vector Map Generation from Aerial Imagery,"Weiqin Jiao, Hao Cheng, George Vosselman, Claudio Persello",https://openaccess.thecvf.com/content/CVPR2026/papers/Jiao_ACPV-Net_All-Class_Polygonal_Vectorization_for_Seamless_Vector_Map_Generation_from_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,ACoT-VLA: Action Chain-of-Thought for Vision-Language-Action Models,"Linqing Zhong, Yi Liu, Yifei Wei, Ziyu Xiong, Si Liu, Guanghui Ren",https://openaccess.thecvf.com/content/CVPR2026/papers/Zhong_ACoT-VLA_Action_Chain-of-Thought_for_Vision-Language-Action_Models_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,AD-GBC: Anisotropic Granular-Ball Skip-Connection Refiner for UNet-Based Medical Image Segmentation,"Xiya Shen, Qinglin Zhao, Li Feng",https://openaccess.thecvf.com/content/CVPR2026/papers/Shen_AD-GBC_Anisotropic_Granular-Ball_Skip-Connection_Refiner_for_UNet-Based_Medical_Image_Segmentation_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,ADSeeker: A Knowledge-Grounded Reasoning Framework for Industry Anomaly Detection and Reasoning,"Kai Zhang, Zekai Zhang, Xihe Sun, Anpeng Wang, Jingmeng Nie, Qinghui Chen, Han Hao, Jianyuan Guo, Jinglin Zhang",https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_ADSeeker_A_Knowledge-Grounded_Reasoning_Framework_for_Industry_Anomaly_Detection_and_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,AE2VID: Event-based Video Reconstruction via Aperture Modulation,"Chenxu Bai, Boyu Li, Peiqi Duan, Xinyu Zhou, Hanyue Lou, Boxin Shi",https://openaccess.thecvf.com/content/CVPR2026/papers/Bai_AE2VID_Event-based_Video_Reconstruction_via_Aperture_Modulation_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,AERGS-SLAM: Auto-Exposure-Robust Stereo 3D Gaussian Splatting SLAM,"Zhiyu Zhou, Feng Hui, Yu Liu",https://openaccess.thecvf.com/content/CVPR2026/papers/Zhou_AERGS-SLAM_Auto-Exposure-Robust_Stereo_3D_Gaussian_Splatting_SLAM_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
CVPR,2026,AG-VAS: Anchor-Guided Zero-Shot Visual Anomaly Segmentation with Large Multimodal Models,"Zhen Qu, Xian Tao, Xiaoyi Bao, Dingrong Wang, ShiChen Qu, Zhengtao Zhang, Xingang Wang",https://openaccess.thecvf.com/content/CVPR2026/papers/Qu_AG-VAS_Anchor-Guided_Zero-Shot_Visual_Anomaly_Segmentation_with_Large_Multimodal_Models_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/CVPR2026?day=all
